ticker,sector,earn_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,return_dollar,eps_reported,eps_estimate,surprise_pct,year
MMM,Industrials,2022-01-25,2022-01-27,120.1653,2022-02-17,106.6471,hard_stop,21,-11.25,-1237.46,2.31,2.02,14.6,2022
MMM,Industrials,2022-04-26,2022-04-28,103.8561,2022-06-09,104.4925,time,42,0.61,67.41,2.65,2.32,14.43,2022
MMM,Industrials,2022-07-26,2022-07-28,101.3907,2022-08-29,92.5761,hard_stop,32,-8.69,-956.3,2.48,2.44,1.65,2022
MMM,Industrials,2022-10-25,2022-10-27,90.4162,2022-12-08,93.3342,time,42,3.23,355.0,2.69,2.59,3.83,2022
MMM,Industrials,2023-04-25,2023-04-27,77.3672,2023-05-31,71.0989,hard_stop,34,-8.1,-891.23,1.97,1.6,23.44,2023
MMM,Industrials,2023-07-25,2023-07-27,84.1589,2023-08-15,77.0651,hard_stop,19,-8.43,-927.21,2.17,1.76,23.34,2023
MMM,Industrials,2023-10-24,2023-10-26,69.4168,2023-12-07,81.1295,time,42,16.87,1856.04,2.68,2.35,14.23,2023
MMM,Industrials,2024-04-30,2024-05-02,93.5614,2024-06-13,97.6542,time,42,4.37,481.19,2.39,2.11,13.15,2024
MMM,Industrials,2024-07-26,2024-07-30,121.0339,2024-09-10,125.7861,time,42,3.93,431.9,1.93,1.68,14.92,2024
MMM,Industrials,2024-10-22,2024-10-24,123.8039,2024-12-05,129.6045,time,42,4.69,515.39,1.98,1.9,4.13,2024
AOS,Industrials,2022-01-27,2022-01-31,69.4549,2022-02-23,62.6617,hard_stop,23,-9.78,-1075.88,0.87,0.77,13.22,2022
AOS,Industrials,2022-04-28,2022-05-02,54.0787,2022-06-13,52.002,time,42,-3.84,-422.43,0.77,0.75,2.81,2022
AOS,Industrials,2022-07-28,2022-08-01,57.7297,2022-08-31,52.5789,hard_stop,30,-8.92,-981.45,0.82,0.81,1.28,2022
AOS,Industrials,2023-01-31,2023-02-02,66.8573,2023-02-24,61.1046,hard_stop,22,-8.6,-946.49,0.86,0.79,8.88,2023
AOS,Industrials,2023-04-27,2023-05-01,65.1886,2023-06-12,64.8482,time,42,-0.52,-57.45,0.94,0.78,20.11,2023
AOS,Industrials,2023-07-27,2023-07-31,68.6458,2023-09-11,66.9555,time,42,-2.46,-270.85,1.01,0.9,11.76,2023
AOS,Industrials,2023-10-26,2023-10-30,65.5556,2023-12-11,74.4573,time,42,13.58,1493.67,0.9,0.79,13.36,2023
AOS,Industrials,2024-01-30,2024-02-01,74.9993,2024-03-14,82.9685,time,42,10.63,1168.84,0.97,0.96,1.4,2024
AOS,Industrials,2024-04-25,2024-04-29,79.7119,2024-06-10,78.3465,time,42,-1.71,-188.42,1.0,0.99,1.36,2024
ABT,Health Care,2022-01-26,2022-01-28,111.1769,2022-03-11,104.9631,time,42,-5.59,-614.8,1.32,1.21,9.48,2022
ABT,Health Care,2022-04-20,2022-04-22,113.6996,2022-05-02,104.2816,hard_stop,10,-8.28,-911.15,1.73,1.46,18.09,2022
ABT,Health Care,2022-07-20,2022-07-22,103.9746,2022-08-26,94.5983,hard_stop,35,-9.02,-991.96,1.43,1.14,25.29,2022
ABT,Health Care,2022-10-19,2022-10-21,88.0026,2022-12-02,100.8182,time,42,14.56,1601.91,1.15,0.94,22.9,2022
ABT,Health Care,2023-01-25,2023-01-27,103.6733,2023-02-24,94.1258,hard_stop,28,-9.21,-1013.01,1.03,0.94,9.65,2023
ABT,Health Care,2023-04-19,2023-04-21,104.408,2023-05-30,95.7732,hard_stop,39,-8.27,-909.72,1.03,0.99,4.31,2023
ABT,Health Care,2023-07-20,2023-07-24,107.7093,2023-08-16,98.9007,hard_stop,23,-8.18,-899.6,1.08,1.05,2.89,2023
ABT,Health Care,2023-10-18,2023-10-20,90.6193,2023-12-01,99.7812,time,42,10.11,1112.13,1.14,1.1,3.7,2023
ABT,Health Care,2024-04-17,2024-04-19,101.8172,2024-05-31,98.1761,time,42,-3.58,-393.38,0.98,0.95,2.81,2024
ABT,Health Care,2024-07-18,2024-07-22,98.9964,2024-09-03,110.7407,time,43,11.86,1304.98,1.14,1.1,3.17,2024
ABT,Health Care,2024-10-16,2024-10-18,114.4066,2024-11-29,115.2508,time,42,0.74,81.17,1.21,1.2,0.76,2024
ABBV,Health Care,2022-02-02,2022-02-04,120.141,2022-03-18,136.4712,time,42,13.59,1495.18,3.31,3.28,0.84,2022
ABBV,Health Care,2022-04-29,2022-05-03,127.9917,2022-06-14,118.9748,time,42,-7.04,-774.94,3.16,3.14,0.56,2022
ABBV,Health Care,2022-07-29,2022-08-02,123.1942,2022-09-13,120.8818,time,42,-1.88,-206.47,3.37,3.31,1.83,2022
ABBV,Health Care,2022-10-28,2022-11-01,129.2782,2022-12-13,145.2595,time,42,12.36,1359.81,3.66,3.57,2.65,2022
ABBV,Health Care,2023-02-09,2023-02-13,135.2769,2023-03-27,140.1889,time,42,3.63,399.42,3.6,3.58,0.65,2023
ABBV,Health Care,2023-07-27,2023-07-31,136.5911,2023-09-11,135.329,time,42,-0.92,-101.64,2.91,2.81,3.64,2023
