ticker,sector,earn_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,return_dollar,eps_reported,eps_estimate,surprise_pct,spy_bull_regime,year
MMM,Industrials,2025-01-21,2025-01-23,145.2741,2025-03-06,143.5388,time,42,-1.19,-131.4,1.68,1.54,9.32,True,2025
MMM,Industrials,2025-04-22,2025-04-24,132.5004,2025-06-05,143.5743,time,42,8.36,919.34,1.88,1.77,6.42,False,2025
MMM,Industrials,2025-07-18,2025-07-22,150.1709,2025-09-02,152.1369,time,42,1.31,144.01,2.16,2.01,7.37,True,2025
MMM,Industrials,2025-10-21,2025-10-23,164.9079,2025-12-04,167.6469,time,42,1.66,182.7,2.19,2.07,5.6,True,2025
AOS,Industrials,2025-04-29,2025-05-01,66.8238,2025-06-12,62.9258,time,42,-5.83,-641.65,0.95,0.91,4.28,False,2025
AOS,Industrials,2025-07-24,2025-07-28,70.1439,2025-09-08,72.7851,time,42,3.77,414.19,1.07,0.99,7.93,True,2025
AOS,Industrials,2025-10-28,2025-10-30,64.5382,2025-12-11,67.8568,time,42,5.14,565.63,0.94,0.91,3.3,True,2025
ABT,Health Care,2025-07-17,2025-07-21,122.319,2025-09-02,129.4066,time,43,5.79,637.37,1.01,0.99,1.86,True,2025
ABBV,Health Care,2025-01-31,2025-02-04,180.0463,2025-03-18,205.2065,time,42,13.97,1537.17,2.16,2.12,1.92,True,2025
ABBV,Health Care,2025-04-25,2025-04-29,186.5137,2025-06-10,183.5212,time,42,-1.6,-176.49,2.46,2.4,2.62,False,2025
ABBV,Health Care,2025-10-31,2025-11-04,208.9415,2025-12-16,220.0591,time,42,5.32,585.3,1.86,1.78,4.23,True,2025
ACN,Information Technology,2025-03-20,2025-03-24,302.4889,2025-04-08,276.2653,hard_stop,15,-8.67,-953.62,2.82,2.79,1.11,True,2025
ACN,Information Technology,2025-06-20,2025-06-24,291.7345,2025-07-31,264.8539,hard_stop,37,-9.21,-1013.55,3.49,3.32,5.2,True,2025
ACN,Information Technology,2025-09-25,2025-09-29,238.4776,2025-11-10,242.4936,time,42,1.68,185.24,3.03,2.97,1.97,True,2025
ACN,Information Technology,2025-12-18,2025-12-22,269.326,2026-02-02,264.5466,time,42,-1.77,-195.21,3.54,3.4,4.27,True,2025
ADBE,Information Technology,2025-03-12,2025-03-14,379.75,2025-04-04,349.07,hard_stop,21,-8.08,-888.69,5.08,4.97,2.17,False,2025
ADBE,Information Technology,2025-06-12,2025-06-16,392.99,2025-07-28,369.47,time,42,-5.98,-658.34,5.06,4.97,1.71,True,2025
ADBE,Information Technology,2025-09-11,2025-09-15,350.5,2025-10-27,357.8,time,42,2.08,229.1,5.31,5.18,2.48,True,2025
ADBE,Information Technology,2025-12-10,2025-12-12,351.54,2026-01-13,309.93,hard_stop,32,-11.84,-1302.01,4.45,4.28,3.87,True,2025
AMD,Information Technology,2025-05-06,2025-05-08,101.92,2025-06-20,128.24,time,43,25.82,2840.66,0.96,0.93,2.83,False,2025
AMD,Information Technology,2025-11-04,2025-11-06,253.47,2025-11-18,230.29,hard_stop,12,-9.15,-1005.96,0.75,0.68,10.04,True,2025
AES,Utilities,2025-02-28,2025-03-04,10.5209,2025-04-03,11.1189,trail_stop,30,5.68,625.22,0.54,0.35,56.45,True,2025
AES,Utilities,2025-07-31,2025-08-04,12.8598,2025-09-15,12.561,time,42,-2.32,-255.62,0.51,0.4,28.96,True,2025
AES,Utilities,2025-11-04,2025-11-06,14.0093,2025-12-18,13.3552,time,42,-4.67,-513.59,0.89,0.64,39.06,True,2025
AFL,Financials,2025-08-05,2025-08-07,100.3297,2025-09-18,106.3211,time,42,5.97,656.89,1.78,1.71,4.35,True,2025
AFL,Financials,2025-11-04,2025-11-06,109.6191,2025-12-18,109.3102,time,42,-0.28,-30.99,2.49,1.78,40.16,True,2025
A,Health Care,2025-02-26,2025-02-28,126.8867,2025-03-13,116.1281,hard_stop,13,-8.48,-932.68,1.31,1.27,2.99,True,2025
A,Health Care,2025-05-28,2025-05-30,111.1179,2025-07-11,122.5338,time,42,10.27,1130.11,1.31,1.26,3.62,True,2025
A,Health Care,2025-11-24,2025-11-26,155.1082,2025-12-08,141.8622,hard_stop,12,-8.54,-939.39,1.59,1.58,0.37,True,2025
APD,Materials,2025-02-06,2025-02-10,300.7458,2025-03-24,284.0485,time,42,-5.55,-610.72,2.86,2.84,0.67,True,2025
APD,Materials,2025-07-31,2025-08-04,276.6606,2025-09-15,283.7564,time,42,2.56,282.13,3.24,3.0,7.87,True,2025
ABNB,Consumer Discretionary,2025-02-13,2025-02-18,161.04,2025-02-21,146.07,hard_stop,3,-9.3,-1022.54,0.73,0.58,25.49,True,2025
ABNB,Consumer Discretionary,2025-08-06,2025-08-08,120.57,2025-09-19,127.04,time,42,5.37,590.28,1.03,0.94,9.41,True,2025
ALB,Materials,2025-04-30,2025-05-02,59.4268,2025-06-02,54.1396,hard_stop,31,-8.9,-978.67,-0.18,-0.68,73.52,False,2025
ALB,Materials,2025-07-30,2025-08-01,66.0858,2025-09-02,78.6778,trail_stop,32,19.05,2095.94,0.11,-0.81,113.51,True,2025
ALGN,Health Care,2025-04-30,2025-05-02,180.14,2025-06-13,177.85,time,42,-1.27,-139.84,2.13,1.99,7.07,False,2025
ALGN,Health Care,2025-10-29,2025-10-31,137.74,2025-12-12,165.43,time,42,20.1,2211.34,2.61,2.41,8.36,True,2025
ALLE,Industrials,2025-02-18,2025-02-20,124.8099,2025-04-03,126.2642,time,42,1.17,128.17,1.86,1.75,6.27,True,2025
ALLE,Industrials,2025-04-24,2025-04-28,136.041,2025-06-09,138.5621,time,42,1.85,203.85,1.86,1.67,11.19,False,2025
ALLE,Industrials,2025-07-24,2025-07-28,164.3977,2025-09-08,172.4473,time,42,4.9,538.6,2.04,1.99,2.67,True,2025
ALLE,Industrials,2025-10-23,2025-10-27,167.5657,2025-12-08,158.2609,time,42,-5.55,-610.82,2.3,2.24,2.54,True,2025
LNT,Utilities,2025-02-20,2025-02-24,60.6778,2025-04-07,57.5141,time,42,-5.21,-573.53,0.7,0.68,2.77,True,2025
LNT,Utilities,2025-05-09,2025-05-13,57.6908,2025-06-24,59.3003,time,42,2.79,306.89,0.83,0.71,16.9,True,2025
LNT,Utilities,2025-08-07,2025-08-11,64.5842,2025-09-22,62.7568,time,42,-2.83,-311.24,0.68,0.65,5.43,True,2025
ALL,Financials,2025-02-05,2025-02-07,187.3559,2025-03-21,202.4846,time,42,8.07,888.23,7.67,6.28,22.07,True,2025
ALL,Financials,2025-04-30,2025-05-02,194.3056,2025-06-13,196.0225,time,42,0.88,97.2,3.53,2.53,39.33,False,2025
ALL,Financials,2025-07-30,2025-08-01,199.0576,2025-09-12,198.445,time,42,-0.31,-33.85,5.94,3.26,82.45,True,2025
ALL,Financials,2025-11-05,2025-11-07,197.3854,2025-12-19,203.9679,time,42,3.33,366.84,11.17,7.54,48.08,True,2025
GOOGL,Communication Services,2025-02-04,2025-02-06,188.6279,2025-02-26,171.9351,hard_stop,20,-8.85,-973.46,2.15,2.13,1.18,True,2025
GOOGL,Communication Services,2025-04-24,2025-04-28,161.8687,2025-06-09,175.694,time,42,8.54,939.51,2.81,2.01,40.1,False,2025
GOOGL,Communication Services,2025-07-23,2025-07-25,191.5482,2025-09-05,234.4715,time,42,22.41,2464.94,2.31,2.19,5.67,True,2025
GOOGL,Communication Services,2025-10-29,2025-10-31,282.8258,2025-12-12,309.0724,time,42,9.28,1020.82,2.87,2.26,26.88,True,2025
GOOG,Communication Services,2025-02-04,2025-02-06,190.1154,2025-02-26,173.9,hard_stop,20,-8.53,-938.22,2.15,2.13,1.18,True,2025
GOOG,Communication Services,2025-04-24,2025-04-28,163.6941,2025-06-09,177.2308,time,42,8.27,909.65,2.81,2.01,39.84,False,2025
GOOG,Communication Services,2025-07-23,2025-07-25,192.4964,2025-09-05,234.6415,time,42,21.89,2408.33,2.31,2.2,5.09,True,2025
GOOG,Communication Services,2025-10-29,2025-10-31,282.8211,2025-12-12,310.3014,time,42,9.72,1068.81,2.87,2.26,26.88,True,2025
MO,Consumer Staples,2025-01-30,2025-02-03,47.7227,2025-03-17,54.0551,time,42,13.27,1459.62,1.29,1.28,0.85,True,2025
MO,Consumer Staples,2025-04-29,2025-05-01,55.0474,2025-06-12,55.9817,time,42,1.7,186.69,1.23,1.19,3.52,False,2025
MO,Consumer Staples,2025-07-30,2025-08-01,59.082,2025-09-12,63.3497,time,42,7.22,794.56,1.44,1.38,3.99,True,2025
AMZN,Consumer Discretionary,2025-02-06,2025-02-10,230.55,2025-02-27,208.74,hard_stop,17,-9.46,-1040.6,1.86,1.48,25.36,True,2025
AMZN,Consumer Discretionary,2025-05-01,2025-05-05,186.51,2025-06-16,216.1,time,42,15.87,1745.16,1.59,1.36,16.77,False,2025
AMZN,Consumer Discretionary,2025-07-31,2025-08-04,217.4,2025-09-15,231.43,time,42,6.45,709.89,1.68,1.32,27.19,True,2025
AMZN,Consumer Discretionary,2025-10-30,2025-11-03,255.36,2025-11-14,234.69,hard_stop,11,-8.09,-890.39,1.95,1.56,25.2,True,2025
AMCR,Materials,2025-02-04,2025-02-06,48.9738,2025-03-20,47.3016,time,42,-3.41,-375.58,0.81,0.79,2.15,True,2025
AMCR,Materials,2025-11-05,2025-11-07,40.7157,2025-12-19,40.9131,time,42,0.48,53.33,0.97,0.92,4.9,True,2025
AEE,Utilities,2025-07-31,2025-08-04,100.4216,2025-09-15,99.0788,time,42,-1.34,-147.1,1.01,0.99,1.71,True,2025
AEE,Utilities,2025-11-05,2025-11-07,101.3075,2025-12-19,97.8156,time,42,-3.45,-379.15,2.35,2.12,10.95,True,2025
AEP,Utilities,2025-05-06,2025-05-08,102.8658,2025-06-20,98.6267,time,43,-4.12,-453.31,1.54,1.4,9.86,False,2025
AEP,Utilities,2025-07-30,2025-08-01,110.8496,2025-09-12,106.9748,time,42,-3.5,-384.51,1.43,1.27,12.83,True,2025
AXP,Financials,2025-04-17,2025-04-22,244.5565,2025-06-03,294.3051,time,42,20.34,2237.66,3.64,3.47,4.96,False,2025
AXP,Financials,2025-07-18,2025-07-22,300.5941,2025-09-02,328.572,time,42,9.31,1023.83,4.08,3.88,5.09,True,2025
AXP,Financials,2025-10-17,2025-10-21,350.2024,2025-12-02,358.7663,time,42,2.45,268.99,4.14,3.98,4.02,True,2025
AIG,Financials,2025-02-11,2025-02-13,75.0716,2025-03-27,82.5643,time,42,9.98,1097.88,1.3,1.23,5.97,True,2025
AIG,Financials,2025-05-01,2025-05-05,81.5765,2025-06-16,84.0025,time,42,2.97,327.12,1.16,0.97,20.17,False,2025
AIG,Financials,2025-08-06,2025-08-08,75.9699,2025-09-19,76.1295,time,42,0.21,23.11,1.81,1.6,13.25,True,2025
AIG,Financials,2025-11-04,2025-11-06,75.8428,2025-12-18,85.6846,time,42,12.98,1427.43,2.2,1.71,28.5,True,2025
AMT,Real Estate,2025-02-24,2025-02-26,195.698,2025-04-08,195.7649,trail_stop,41,0.03,3.76,2.62,1.98,32.02,True,2025
AMT,Real Estate,2025-10-28,2025-10-30,176.747,2025-12-11,178.1786,time,42,0.81,89.1,1.82,1.65,10.06,True,2025
AWK,Utilities,2025-02-19,2025-02-21,124.1649,2025-04-04,142.5959,time,42,14.84,1632.84,1.22,1.12,9.2,True,2025
AWK,Utilities,2025-10-29,2025-10-31,123.2443,2025-12-12,129.736,time,42,5.27,579.41,1.94,1.88,2.99,True,2025
AMP,Financials,2025-01-29,2025-01-31,534.7356,2025-03-04,489.9817,hard_stop,32,-8.37,-920.63,9.36,9.05,3.47,True,2025
AMP,Financials,2025-07-24,2025-07-28,514.3021,2025-09-08,487.506,time,42,-5.21,-573.12,9.11,9.0,1.17,True,2025
AME,Industrials,2025-02-04,2025-02-06,179.3163,2025-03-20,174.79,time,42,-2.52,-277.66,1.87,1.85,1.12,True,2025
AME,Industrials,2025-05-01,2025-05-05,168.0241,2025-06-16,177.7787,time,42,5.81,638.6,1.52,1.48,2.7,False,2025
AME,Industrials,2025-07-31,2025-08-04,182.5757,2025-09-15,188.965,time,42,3.5,384.95,1.78,1.69,5.54,True,2025
AME,Industrials,2025-10-30,2025-11-03,201.027,2025-12-15,202.8679,time,42,0.92,100.73,1.89,1.76,7.41,True,2025
AMGN,Health Care,2025-02-04,2025-02-06,295.44,2025-03-20,303.1677,time,42,2.62,287.72,5.31,5.08,4.63,True,2025
AMGN,Health Care,2025-05-01,2025-05-05,270.959,2025-06-16,286.9353,time,42,5.9,648.58,4.9,4.26,15.01,False,2025
AMGN,Health Care,2025-11-04,2025-11-06,312.3015,2025-12-18,319.7728,time,42,2.39,263.15,5.64,5.01,12.47,True,2025
APH,Information Technology,2025-01-22,2025-01-24,78.242,2025-01-27,66.8424,hard_stop,3,-14.57,-1602.66,0.55,0.5,9.23,True,2025
APH,Information Technology,2025-04-23,2025-04-25,74.6217,2025-06-06,92.7037,time,42,24.23,2665.47,0.63,0.52,20.96,False,2025
APH,Information Technology,2025-07-23,2025-07-25,104.2376,2025-09-05,109.8677,time,42,5.4,594.14,0.81,0.67,21.66,True,2025
APH,Information Technology,2025-10-22,2025-10-24,136.6559,2025-12-05,138.8174,time,42,1.58,173.99,0.93,0.8,16.48,True,2025
ADI,Information Technology,2025-05-22,2025-05-27,211.9168,2025-07-08,242.5654,time,42,14.46,1590.88,1.14,0.99,15.49,True,2025
ADI,Information Technology,2025-08-20,2025-08-22,246.5529,2025-10-03,240.3857,time,42,-2.5,-275.15,2.05,1.95,5.33,True,2025
ADI,Information Technology,2025-11-25,2025-11-28,257.6405,2026-01-09,299.9907,time,42,16.44,1808.15,2.26,2.23,1.13,True,2025
AON,Financials,2025-01-31,2025-02-04,373.0819,2025-03-18,387.3938,time,42,3.84,421.97,4.42,4.25,3.95,True,2025
AON,Financials,2025-07-25,2025-07-29,367.4176,2025-09-09,365.416,time,42,-0.54,-59.92,2.66,2.37,12.08,True,2025
AON,Financials,2025-10-31,2025-11-04,339.2151,2025-12-16,350.8744,time,42,3.44,378.08,2.11,1.85,14.08,True,2025
APA,Energy,2025-05-06,2025-05-08,15.2739,2025-05-21,16.0419,trail_stop,13,5.03,553.11,1.06,0.82,29.18,False,2025
APA,Energy,2025-08-05,2025-08-07,18.8003,2025-09-09,21.0773,trail_stop,33,12.11,1332.3,1.67,0.52,220.64,True,2025
APA,Energy,2025-11-05,2025-11-07,23.3895,2025-12-16,23.5765,trail_stop,39,0.8,87.93,0.93,0.79,17.59,True,2025
APO,Financials,2025-02-04,2025-02-06,164.4094,2025-02-21,147.6559,hard_stop,15,-10.19,-1120.91,2.22,1.89,17.47,True,2025
APO,Financials,2025-11-04,2025-11-06,132.5335,2025-12-18,145.093,time,42,9.48,1042.4,2.78,1.26,120.63,True,2025
AAPL,Information Technology,2025-01-30,2025-02-03,228.5299,2025-03-13,208.5779,hard_stop,38,-8.73,-960.36,2.4,2.35,2.26,True,2025
AAPL,Information Technology,2025-05-01,2025-05-05,202.0325,2025-06-16,197.6359,time,42,-2.18,-239.38,1.65,1.63,1.5,False,2025
