ticker,is_it,year,ret_sector,ret_all7,f_surprise15,f_vol15x,f_rs,f_52w,f_nearearn,bull
MMM,False,2022,-11.25,-11.25,False,True,False,False,True,False
MMM,False,2022,0.61,0.61,False,True,False,False,True,False
MMM,False,2022,-8.69,-8.69,False,True,False,False,True,False
MMM,False,2022,3.23,3.23,False,True,True,False,True,False
MMM,False,2023,-8.1,-8.1,True,True,False,False,True,True
MMM,False,2023,-8.43,-8.43,True,True,True,False,True,True
MMM,False,2023,16.87,16.87,False,True,True,False,True,False
MMM,False,2024,0.4,0.4,False,True,False,False,True,True
MMM,False,2024,4.37,4.37,False,True,True,True,True,True
MMM,False,2024,3.93,3.93,False,True,False,True,True,True
MMM,False,2024,4.69,4.69,False,True,False,True,True,True
MMM,False,2025,-1.19,-1.19,False,True,True,True,True,True
MMM,False,2025,8.36,8.36,False,True,False,False,True,False
MMM,False,2025,1.31,1.31,False,True,False,True,True,True
MMM,False,2025,1.66,1.66,False,True,True,True,True,True
MMM,False,2026,5.03,5.03,False,True,False,False,True,True
AOS,False,2022,-9.78,-9.78,False,True,False,True,True,True
AOS,False,2022,-3.84,-3.84,False,True,True,False,True,False
AOS,False,2022,-8.92,-8.92,False,False,True,False,True,False
AOS,False,2023,-8.6,-8.6,False,True,True,False,True,True
AOS,False,2023,-0.52,-0.52,True,True,False,False,True,True
AOS,False,2023,-2.46,-2.46,False,True,False,True,True,True
AOS,False,2023,13.58,13.58,False,True,False,False,True,False
AOS,False,2024,10.63,10.63,False,True,False,True,True,True
AOS,False,2024,-1.71,-1.71,False,True,False,True,True,True
AOS,False,2025,-5.83,-5.83,False,True,True,False,True,False
AOS,False,2025,3.77,3.77,False,True,False,False,True,True
AOS,False,2025,5.14,5.14,False,True,False,False,True,True
AOS,False,2026,-9.14,-9.14,False,True,True,False,True,True
ABT,False,2022,-5.59,-5.59,False,True,True,True,True,True
ABT,False,2022,-8.28,-8.28,True,True,True,False,True,False
ABT,False,2022,-9.02,-9.02,True,False,True,False,True,False
ABT,False,2022,14.56,14.56,True,True,False,False,True,False
ABT,False,2023,-9.21,-9.21,False,False,False,False,True,True
ABT,False,2023,-8.27,-8.27,False,True,False,False,True,True
ABT,False,2023,-8.18,-8.18,False,True,True,True,True,True
ABT,False,2023,10.11,10.11,False,True,True,False,True,True
ABT,False,2024,-3.58,-3.58,False,True,False,True,True,True
ABT,False,2024,11.86,11.86,False,True,True,False,True,True
ABT,False,2024,0.74,0.74,False,False,True,False,True,True
ABT,False,2025,1.99,1.99,False,True,True,False,True,False
ABT,False,2025,5.79,5.79,False,True,True,False,True,True
ABT,False,2026,4.55,4.55,False,True,False,False,True,True
ABBV,False,2022,13.59,13.59,False,False,True,True,True,True
ABBV,False,2022,-7.04,-7.04,False,True,True,True,True,False
ABBV,False,2022,-1.88,-1.88,False,True,False,False,True,False
ABBV,False,2022,12.36,12.36,False,True,False,False,True,False
ABBV,False,2023,3.63,3.63,False,True,True,False,True,True
ABBV,False,2023,-0.92,-0.92,False,True,True,False,True,True
ABBV,False,2023,7.85,7.85,False,True,True,False,True,False
ABBV,False,2024,3.99,3.99,True,True,True,False,True,True
ABBV,False,2024,-14.65,-14.65,False,True,True,True,True,True
ABBV,False,2025,13.97,13.97,False,True,True,False,True,True
ABBV,False,2025,-1.6,-1.6,False,False,True,False,True,False
ABBV,False,2025,11.7,11.7,False,True,True,False,True,True
ABBV,False,2025,5.32,5.32,False,True,False,True,True,True
ABBV,False,2026,-6.25,-6.25,False,True,True,False,True,True
ACN,True,2022,-5.52,-5.52,False,True,True,False,True,True
ACN,True,2022,-8.05,-8.05,False,False,True,False,True,False
ACN,True,2022,4.74,-0.01,False,True,True,False,True,False
ACN,True,2022,10.42,10.42,False,True,False,False,True,False
ACN,True,2023,6.89,6.89,False,False,False,True,True,True
ACN,True,2023,3.05,3.05,False,True,True,True,True,True
ACN,True,2023,9.43,9.43,False,True,True,True,True,True
ACN,True,2024,-9.43,-9.43,False,True,False,True,True,True
ACN,True,2024,2.94,2.94,False,True,False,False,True,True
ACN,True,2024,7.28,7.28,False,True,False,False,True,True
ACN,True,2025,-8.67,-8.67,False,True,True,False,True,True
ACN,True,2025,-9.21,-9.21,False,True,True,False,True,True
ACN,True,2025,1.68,1.68,False,True,True,False,True,True
ACN,True,2025,-1.77,-1.77,False,True,False,False,True,True
ACN,True,2026,-11.09,-11.09,False,False,False,False,True,False
ADBE,True,2022,-4.09,1.96,False,False,False,False,True,True
ADBE,True,2022,15.48,6.83,False,True,False,False,True,False
ADBE,True,2022,8.01,8.01,False,True,False,False,True,False
ADBE,True,2022,7.52,7.52,False,True,True,False,True,False
ADBE,True,2023,6.42,6.42,False,False,True,False,True,True
ADBE,True,2023,13.07,13.07,False,True,True,True,True,True
ADBE,True,2023,0.52,0.52,False,True,False,True,True,True
ADBE,True,2023,5.74,5.74,False,True,False,True,True,True
ADBE,True,2024,-4.54,-4.54,False,True,False,True,True,True
ADBE,True,2024,2.11,1.05,False,True,True,False,True,True
ADBE,True,2024,-9.32,-9.32,False,True,False,False,True,True
ADBE,True,2024,-9.16,-9.16,False,True,False,False,True,True
ADBE,True,2025,-8.08,-8.08,False,True,False,False,True,False
ADBE,True,2025,-5.98,-5.98,False,True,False,False,True,True
ADBE,True,2025,2.08,2.08,False,True,False,False,True,True
