date,hv,n,period,post_0.0,post_-0.5,post_-1.0,post_-1.5
2022-01-03,-0.7438135593220339,354,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-04,-0.7654390934844192,353,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-05,-0.806741573033708,356,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-06,-0.8270028011204482,357,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-07,-0.8006611570247937,363,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-10,-0.9067966573816155,359,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-11,-0.9271148459383755,357,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-12,-0.9998309859154931,355,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-13,-0.9303631284916201,358,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-14,-0.9914404432132963,361,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-17,-0.8937891737891739,351,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-18,-0.8772079772079773,351,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-19,-0.6455882352941175,340,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-20,-0.6430409356725146,342,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-21,-0.6429360465116278,344,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-24,-0.4929166666666665,336,IS (2022-2024),ELEVATED_BAR,NORMAL,NORMAL,NORMAL
2022-01-25,-0.5191691394658752,337,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-01-26,-0.15368750000000003,320,IS (2022-2024),ELEVATED_BAR,NORMAL,NORMAL,NORMAL
2022-01-27,-0.15368750000000003,320,IS (2022-2024),ELEVATED_BAR,NORMAL,NORMAL,NORMAL
2022-01-28,-0.15368750000000003,320,IS (2022-2024),ELEVATED_BAR,NORMAL,NORMAL,NORMAL
2022-01-31,2.0208333333333335,240,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-01,2.121965811965812,234,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-02,2.1734841628959276,221,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-03,2.1891441441441444,222,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-04,2.1360986547085203,223,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-07,2.257821782178218,202,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-08,2.1021787709497204,179,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-09,1.5840131578947372,152,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-10,1.5840131578947372,152,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-11,1.1449068322981368,161,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-14,0.474214876033058,121,IS (2022-2024),NORMAL,NORMAL,NORMAL,NORMAL
2022-02-15,-0.2671111111111109,90,IS (2022-2024),ELEVATED_BAR,NORMAL,NORMAL,NORMAL
2022-02-16,-0.7838461538461539,78,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,NORMAL,NORMAL
2022-02-17,-1.5441379310344825,87,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-02-18,-1.6053846153846154,91,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-02-21,-2.5598571428571426,70,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-02-22,-2.905432098765432,81,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-02-23,-3.7371962616822425,107,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-02-24,-3.6980701754385965,114,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-02-25,-3.6980701754385965,114,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-02-28,-3.8268421052631574,114,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-03-01,-4.368636363636363,132,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-03-02,-4.6792248062015505,129,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-03-03,-4.58557251908397,131,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-03-04,-4.6275,148,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-03-07,-5.485277777777778,180,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-03-08,-5.309949494949495,198,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-03-09,-5.387010309278351,194,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-03-10,-4.979950738916257,203,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
2022-03-11,-4.54504347826087,230,IS (2022-2024),ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR,ELEVATED_BAR
