ticker,sector,entry_date,surprise_pct,q,hv,ret,exit_reason,period
ON,Information Technology,2022-02-09,15.98,3,1.5840131578947372,-11.02,hard_stop,IS (2022-2024)
HSIC,Health Care,2022-02-17,17.05,3,-1.5441379310344825,3.97,time,IS (2022-2024)
TRV,Financials,2022-04-21,16.69,3,-0.004720496894409837,-0.74,time,IS (2022-2024)
MTB,Financials,2022-04-22,16.72,3,0.034674922600619204,-8.3,hard_stop,IS (2022-2024)
WRB,Financials,2022-04-27,16.76,3,0.5836111111111111,5.07,time,IS (2022-2024)
MRK,Health Care,2022-05-02,17.11,3,0.8383393501805055,-4.19,time,IS (2022-2024)
REGN,Health Care,2022-05-06,17.28,3,0.6163405797101451,-9.95,hard_stop,IS (2022-2024)
CI,Health Care,2022-05-10,16.09,3,-0.018707224334600172,-3.34,time,IS (2022-2024)
CASY,Consumer Staples,2022-12-08,17.29,3,6.66523489932886,-8.43,hard_stop,IS (2022-2024)
CPB,Consumer Staples,2022-12-09,18.73,3,6.562298850574713,-8.1,time,IS (2022-2024)
ULTA,Consumer Discretionary,2023-03-13,19.23,3,-4.835783783783784,6.03,time,IS (2022-2024)
PPG,Materials,2023-04-24,17.21,3,-3.22943143812709,-9.04,hard_stop,IS (2022-2024)
CMG,Consumer Discretionary,2023-04-27,17.28,3,-3.0236896551724137,-0.13,time,IS (2022-2024)
WST,Health Care,2023-05-01,18.84,3,-2.84375,-1.19,time,IS (2022-2024)
MNST,Consumer Staples,2023-05-08,15.11,3,-3.1984341637010676,-1.77,time,IS (2022-2024)
CAH,Health Care,2023-05-08,16.77,3,-3.1984341637010676,9.41,time,IS (2022-2024)
NVDA,Information Technology,2023-05-26,18.8,3,-1.5650000000000002,7.25,time,IS (2022-2024)
WDAY,Information Technology,2023-05-30,16.62,3,-2.0740939597315435,2.0,time,IS (2022-2024)
LULU,Consumer Discretionary,2023-06-05,15.38,3,-2.314074074074074,5.7,time,IS (2022-2024)
PKG,Materials,2023-07-26,15.64,3,3.752823129251701,-4.56,time,IS (2022-2024)
PHM,Consumer Discretionary,2023-07-27,18.01,3,3.752823129251701,-8.28,hard_stop,IS (2022-2024)
VMC,Materials,2023-08-07,19.57,3,4.457644787644789,-6.91,time,IS (2022-2024)
ANET,Information Technology,2023-11-01,16.12,3,-0.9737454545454547,13.12,time,IS (2022-2024)
BX,Financials,2024-01-29,16.94,3,11.042908587257617,0.6,time,IS (2022-2024)
HCA,Health Care,2024-02-01,16.79,3,11.09679190751445,7.28,time,IS (2022-2024)
RL,Consumer Discretionary,2024-02-12,17.53,3,10.736915422885572,4.61,time,IS (2022-2024)
CRWD,Information Technology,2024-03-07,15.29,3,3.9376315789473684,-9.17,hard_stop,IS (2022-2024)
KR,Consumer Staples,2024-03-11,18.3,3,4.304601769911504,1.9,time,IS (2022-2024)
PGR,Financials,2024-04-16,17.05,3,4.65859649122807,-1.19,time,IS (2022-2024)
WFC,Financials,2024-04-16,15.7,3,4.65859649122807,5.14,time,IS (2022-2024)
ACGL,Financials,2024-05-01,17.23,3,4.380860534124629,5.91,time,IS (2022-2024)
AMZN,Consumer Discretionary,2024-05-02,18.16,3,4.380860534124629,1.65,time,IS (2022-2024)
IT,Information Technology,2024-05-02,15.28,3,4.380860534124629,1.99,time,IS (2022-2024)
ISRG,Health Care,2024-07-22,15.51,3,1.9503878116343492,4.57,time,IS (2022-2024)
WFC,Financials,2024-10-15,18.08,3,4.74435736677116,23.66,time,IS (2022-2024)
C,Financials,2024-10-17,15.76,3,4.74435736677116,10.46,time,IS (2022-2024)
COF,Financials,2024-10-28,19.97,3,5.043949044585988,14.69,time,IS (2022-2024)
APP,Information Technology,2024-11-08,19.64,3,4.913617021276595,37.52,trail_stop,IS (2022-2024)
PODD,Health Care,2024-11-11,18.29,3,4.963811881188119,-1.8,time,IS (2022-2024)
JPM,Financials,2025-01-17,19.18,3,2.08506711409396,1.28,trail_stop,OOS (2025)
T,Communication Services,2025-01-29,17.3,3,1.7104059040590405,4.09,time,OOS (2025)
META,Communication Services,2025-01-31,18.67,3,1.7104059040590405,-9.13,hard_stop,OOS (2025)
NDAQ,Financials,2025-07-28,19.49,3,6.438899371069183,0.01,time,OOS (2025)
FFIV,Information Technology,2025-08-01,19.17,3,6.0279430379746834,4.39,time,OOS (2025)
CASY,Consumer Staples,2025-09-10,15.35,3,1.7313966480446927,-0.24,time,OOS (2025)
APH,Information Technology,2025-10-24,16.48,3,3.6137249283667625,1.58,time,OOS (2025)
CAH,Health Care,2025-11-03,17.6,3,3.3009177215189878,3.63,trail_stop,OOS (2025)
NWSA,Communication Services,2025-11-10,16.76,3,2.63396,-2.16,time,OOS (2025)
