period,eps_threshold,score_cutoff,score_qmin,stop_key,stop_label,n,win_rate,avg_return,median_return,avg_winner,avg_loser,profit_factor,sharpe,max_drawdown_pct,max_consec_losses,avg_holding_days,total_pnl,avg_position_dollar,avg_return_vs_baseline
IS (2022-2024),15.0,>=6,3,flat8,flat -8%,194,57.7,1.81,1.984,7.76,-6.31,1.678,0.21,-15.78,9,35.5,38624.0,11000.0,0.0
IS (2022-2024),15.0,>=6,3,flat10,flat -10%,194,59.3,1.812,1.992,7.77,-6.86,1.649,0.2,-17.57,9,37.2,38658.0,11000.0,0.002
IS (2022-2024),15.0,>=6,3,flat12,flat -12%,194,59.3,1.803,1.992,7.77,-6.88,1.643,0.197,-17.09,9,38.5,38467.0,11000.0,-0.007
IS (2022-2024),15.0,>=6,3,atr15,"max(8%, 1.5xATR14)",194,57.7,1.79,1.984,7.76,-6.36,1.672,0.207,-14.32,9,35.5,34707.0,9938.0,-0.02
IS (2022-2024),15.0,>=6,3,atr20,"max(8%, 2.0xATR14)",194,58.2,1.899,1.992,7.89,-6.46,1.718,0.215,-14.09,9,35.9,36047.0,9776.0,0.089
IS (2022-2024),15.0,>=5,2,flat8,flat -8%,626,56.7,1.437,2.027,7.89,-7.01,1.473,0.162,-36.01,13,34.1,98955.0,11000.0,-0.373
IS (2022-2024),15.0,>=5,2,flat10,flat -10%,626,58.5,1.564,2.273,7.82,-7.24,1.52,0.172,-35.2,10,36.7,107699.0,11000.0,-0.246
IS (2022-2024),15.0,>=5,2,flat12,flat -12%,626,59.9,1.765,2.564,7.78,-7.22,1.609,0.193,-30.28,8,38.3,121518.0,11000.0,-0.045
IS (2022-2024),15.0,>=5,2,atr15,"max(8%, 1.5xATR14)",626,56.7,1.402,2.027,7.89,-7.09,1.467,0.157,-33.41,13,34.2,88281.0,9906.0,-0.408
IS (2022-2024),15.0,>=5,2,atr20,"max(8%, 2.0xATR14)",626,57.0,1.45,2.106,7.92,-7.14,1.496,0.161,-30.87,13,34.6,90067.0,9686.0,-0.36
IS (2022-2024),15.0,>=4,1,flat8,flat -8%,1029,54.7,1.25,1.648,8.08,-7.0,1.394,0.139,-54.3,19,33.6,141469.0,11000.0,-0.56
IS (2022-2024),15.0,>=4,1,flat10,flat -10%,1029,56.5,1.329,1.98,8.05,-7.38,1.414,0.142,-56.34,19,36.0,150485.0,11000.0,-0.481
IS (2022-2024),15.0,>=4,1,flat12,flat -12%,1029,57.9,1.472,2.333,8.01,-7.52,1.465,0.155,-55.2,17,37.7,166638.0,11000.0,-0.338
IS (2022-2024),15.0,>=4,1,atr15,"max(8%, 1.5xATR14)",1029,54.7,1.175,1.648,8.08,-7.17,1.383,0.129,-51.07,19,33.7,124247.0,9869.0,-0.635
IS (2022-2024),15.0,>=4,1,atr20,"max(8%, 2.0xATR14)",1029,55.1,1.178,1.753,8.1,-7.31,1.395,0.127,-48.26,19,34.1,123446.0,9590.0,-0.632
IS (2022-2024),12.5,>=6,3,flat8,flat -8%,233,58.8,1.732,2.104,7.27,-6.18,1.68,0.209,-16.98,7,35.9,44383.0,11000.0,-0.078
IS (2022-2024),12.5,>=6,3,flat10,flat -10%,233,60.1,1.763,2.245,7.29,-6.56,1.673,0.204,-19.16,7,37.6,45192.0,11000.0,-0.047
IS (2022-2024),12.5,>=6,3,flat12,flat -12%,233,60.1,1.732,2.245,7.29,-6.64,1.653,0.197,-18.53,7,38.7,44389.0,11000.0,-0.078
IS (2022-2024),12.5,>=6,3,atr15,"max(8%, 1.5xATR14)",233,58.8,1.715,2.104,7.27,-6.22,1.675,0.207,-15.44,7,35.9,39943.0,9949.0,-0.095
