ticker,sector,is_it,year,period,entry_date,surprise_pct,q,f_vol15x,f_rs,f_52w,f_nearearn,atr_pct,flat8_stop_pct,flat8_pos_dollar,flat8_ret_pct,flat8_ret_dollar,flat8_exit,flat8_hold,flat10_stop_pct,flat10_pos_dollar,flat10_ret_pct,flat10_ret_dollar,flat10_exit,flat10_hold,flat12_stop_pct,flat12_pos_dollar,flat12_ret_pct,flat12_ret_dollar,flat12_exit,flat12_hold,atr15_stop_pct,atr15_pos_dollar,atr15_ret_pct,atr15_ret_dollar,atr15_exit,atr15_hold,atr20_stop_pct,atr20_pos_dollar,atr20_ret_pct,atr20_ret_dollar,atr20_exit,atr20_hold
MMM,Industrials,False,2022,IS (2022-2024),2022-01-27,14.6,1,True,False,False,True,2.262,8.0,11000.0,-11.2497,-1237.46,hard_stop,21,10.0,11000.0,-11.2497,-1237.46,hard_stop,21,12.0,11000.0,-12.3781,-1361.6,hard_stop,26,8.0,10000.0,-11.2497,-1124.97,hard_stop,21,8.0,10000.0,-11.2497,-1124.97,hard_stop,21
MMM,Industrials,False,2022,IS (2022-2024),2022-04-28,14.43,1,True,False,False,True,2.063,8.0,11000.0,0.6128,67.41,time,42,10.0,11000.0,0.6128,67.41,time,42,12.0,11000.0,0.6128,67.41,time,42,8.0,10000.0,0.6128,61.28,time,42,8.0,10000.0,0.6128,61.28,time,42
MMM,Industrials,False,2022,IS (2022-2024),2022-07-28,1.65,1,True,False,False,True,2.08,8.0,11000.0,-8.6936,-956.3,hard_stop,32,10.0,11000.0,-10.2029,-1122.32,hard_stop,34,12.0,11000.0,-12.1526,-1336.79,hard_stop,36,8.0,10000.0,-8.6936,-869.36,hard_stop,32,8.0,10000.0,-8.6936,-869.36,hard_stop,32
MMM,Industrials,False,2022,IS (2022-2024),2022-10-27,3.83,2,True,True,False,True,2.712,8.0,11000.0,3.2273,355.0,time,42,10.0,11000.0,3.2273,355.0,time,42,12.0,11000.0,3.2273,355.0,time,42,8.0,10000.0,3.2273,322.73,time,42,8.0,10000.0,3.2273,322.73,time,42
MMM,Industrials,False,2023,IS (2022-2024),2023-04-27,23.44,1,True,False,False,True,1.697,8.0,11000.0,-8.1021,-891.23,hard_stop,34,10.0,11000.0,-0.7648,-84.13,time,42,12.0,11000.0,-0.7648,-84.13,time,42,8.0,10000.0,-8.1021,-810.21,hard_stop,34,8.0,10000.0,-8.1021,-810.21,hard_stop,34
MMM,Industrials,False,2023,IS (2022-2024),2023-07-27,23.34,2,True,True,False,True,2.238,8.0,11000.0,-8.4292,-927.21,hard_stop,19,10.0,11000.0,-2.6397,-290.36,time,42,12.0,11000.0,-2.6397,-290.36,time,42,8.0,10000.0,-8.4292,-842.92,hard_stop,19,8.0,10000.0,-8.4292,-842.92,hard_stop,19
MMM,Industrials,False,2023,IS (2022-2024),2023-10-26,14.23,2,True,True,False,True,2.224,8.0,11000.0,14.582,1604.03,time,42,10.0,11000.0,14.582,1604.03,time,42,12.0,11000.0,14.582,1604.03,time,42,8.0,10000.0,14.582,1458.2,time,42,8.0,10000.0,14.582,1458.2,time,42
MMM,Industrials,False,2024,IS (2022-2024),2024-01-25,4.61,1,True,False,False,True,3.099,8.0,11000.0,0.4035,44.39,time,42,10.0,11000.0,0.4035,44.39,time,42,12.0,11000.0,0.4035,44.39,time,42,8.0,10000.0,0.4035,40.35,time,42,8.0,10000.0,0.4035,40.35,time,42
MMM,Industrials,False,2024,IS (2022-2024),2024-05-02,13.15,3,True,True,True,True,1.933,8.0,11000.0,4.3745,481.19,time,42,10.0,11000.0,4.3745,481.19,time,42,12.0,11000.0,4.3745,481.19,time,42,8.0,10000.0,4.3745,437.45,time,42,8.0,10000.0,4.3745,437.45,time,42
MMM,Industrials,False,2024,IS (2022-2024),2024-07-30,14.92,2,True,False,True,True,3.249,8.0,11000.0,3.9263,431.9,time,42,10.0,11000.0,3.9263,431.9,time,42,12.0,11000.0,3.9263,431.9,time,42,8.0,10000.0,3.9263,392.63,time,42,8.0,10000.0,3.9263,392.63,time,42
