ticker,is_it,year,entry_date,exit_date,ret_base,ret_sector,ret5,ret5_known,enhanced
CAG,False,2021,2021-01-11,2021-02-22,1.78,1.78,-1.49,2021-01-19,False
MU,True,2021,2021-01-11,2021-01-26,3.81,-1.96,11.63,2021-01-19,False
STZ,False,2021,2021-01-11,2021-02-22,-2.37,-2.37,-2.51,2021-01-19,True
WFC,False,2021,2021-01-20,2021-01-29,-8.85,-8.85,-7.96,2021-01-27,False
C,False,2021,2021-01-20,2021-01-29,-8.26,-8.26,-6.82,2021-01-27,False
PNC,False,2021,2021-01-20,2021-03-03,11.12,11.12,-7.41,2021-01-27,True
JPM,False,2021,2021-01-20,2021-03-03,10.95,10.95,-7.23,2021-01-27,False
GS,False,2021,2021-01-21,2021-03-04,13.82,13.82,-5.31,2021-01-28,False
HAL,False,2021,2021-01-21,2021-01-26,-8.86,-8.86,-8.51,2021-01-28,False
SCHW,False,2021,2021-01-21,2021-01-27,-9.46,-9.46,-8.7,2021-01-28,False
STT,False,2021,2021-01-21,2021-01-27,-8.6,-8.6,-6.66,2021-01-28,False
IBKR,False,2021,2021-01-21,2021-01-29,-9.88,-9.88,-6.47,2021-01-28,False
BAC,False,2021,2021-01-21,2021-01-29,-8.32,-8.32,-6.25,2021-01-28,False
JBHT,False,2021,2021-01-21,2021-01-27,-9.7,-9.7,-9.0,2021-01-28,False
CFG,False,2021,2021-01-22,2021-01-27,-8.09,-8.09,-4.88,2021-01-29,False
KMI,False,2021,2021-01-22,2021-03-05,7.51,7.51,-4.61,2021-01-29,False
PG,False,2021,2021-01-22,2021-03-05,-3.85,-3.85,-2.14,2021-01-29,False
UNH,False,2021,2021-01-22,2021-02-05,-8.15,-8.15,-5.58,2021-01-29,False
USB,False,2021,2021-01-22,2021-03-05,15.67,15.67,-5.53,2021-01-29,False
BNY,False,2021,2021-01-22,2021-03-05,8.53,8.53,-4.0,2021-01-29,False
MS,False,2021,2021-01-22,2021-03-05,12.04,12.04,-7.11,2021-01-29,False
PPG,False,2021,2021-01-25,2021-03-08,6.63,6.63,0.74,2021-02-01,False
STX,True,2021,2021-01-25,2021-01-28,10.88,24.04,11.03,2021-02-01,False
TRV,False,2021,2021-01-25,2021-03-08,7.79,7.79,-4.35,2021-02-01,False
TFC,False,2021,2021-01-25,2021-03-08,18.07,18.07,-5.14,2021-02-01,False
UNP,False,2021,2021-01-25,2021-03-08,3.27,3.27,-3.2,2021-02-01,False
KEY,False,2021,2021-01-25,2021-03-08,18.85,18.85,-4.77,2021-02-01,True
FITB,False,2021,2021-01-25,2021-03-08,24.76,24.76,-2.51,2021-02-01,False
INTC,True,2021,2021-01-25,2021-03-04,4.09,6.8,0.55,2021-02-01,False
IBM,True,2021,2021-01-25,2021-03-08,6.5,6.5,1.5,2021-02-01,False
ISRG,False,2021,2021-01-25,2021-03-08,-8.36,-8.36,-0.17,2021-02-01,False
MTB,False,2021,2021-01-25,2021-03-08,13.98,13.98,-5.47,2021-02-01,False
RF,False,2021,2021-01-26,2021-02-26,14.99,14.99,-1.0,2021-02-02,False
SLB,False,2021,2021-01-26,2021-01-27,-9.39,-9.39,-6.48,2021-02-02,False
BRO,False,2021,2021-01-27,2021-03-10,3.14,3.14,-3.23,2021-02-03,False
STLD,False,2021,2021-01-27,2021-03-10,35.87,35.87,2.65,2021-02-03,False
KMB,False,2021,2021-01-27,2021-03-10,-1.31,-1.31,-3.67,2021-02-03,False
TXN,True,2021,2021-01-28,2021-03-11,4.84,4.84,3.08,2021-02-04,False
AXP,False,2021,2021-01-28,2021-03-11,25.82,25.82,6.36,2021-02-04,True
DHI,False,2021,2021-01-28,2021-02-25,0.02,0.02,3.19,2021-02-04,False
FFIV,True,2021,2021-01-28,2021-02-23,-8.4,-8.4,-2.36,2021-02-04,False
SBUX,False,2021,2021-01-28,2021-03-11,8.93,8.93,4.75,2021-02-04,False
WRB,False,2021,2021-01-28,2021-03-11,22.64,22.64,4.7,2021-02-04,False
ROK,False,2021,2021-01-28,2021-03-11,8.31,8.31,-1.54,2021-02-04,True
MSFT,True,2021,2021-01-28,2021-03-11,0.88,0.88,2.72,2021-02-04,True
RTX,False,2021,2021-01-28,2021-03-11,16.68,16.68,9.39,2021-02-04,False
IVZ,False,2021,2021-01-28,2021-03-11,19.8,19.8,2.3,2021-02-04,False
VZ,False,2021,2021-01-28,2021-03-11,0.93,0.93,0.25,2021-02-04,False
JNJ,False,2021,2021-01-28,2021-03-04,-8.43,-8.43,-3.69,2021-02-04,False
BXP,False,2021,2021-01-28,2021-03-11,19.29,19.29,2.76,2021-02-04,False
CHRW,False,2021,2021-01-28,2021-03-11,2.26,2.26,-6.07,2021-02-04,False
COF,False,2021,2021-01-28,2021-03-11,26.84,26.84,7.81,2021-02-04,False
AMD,True,2021,2021-01-28,2021-02-25,-8.25,-8.25,-2.22,2021-02-04,False
ADM,False,2021,2021-01-28,2021-03-11,18.16,18.16,5.19,2021-02-04,False
