ticker,sector,is_it,year,earn_date,entry_date,entry_price,surprise_pct,atr_pct,eff_stop_pct,pos_v2_dollar,v2_capped,v2_return_pct,v2_exit_reason,v2_holding_days,v2_stop_fired,v2_stop_first5,v2_return_dollar
ALLE,Industrials,False,2023,2023-02-22,2023-02-24,107.1721,16.28,2.806,8.0,10000.0,False,-8.502,hard_stop,27,True,False,-850.24
GOOGL,Communication Services,False,2024,2024-04-25,2024-04-29,167.5741,25.58,2.697,8.0,10000.0,False,3.638,time,42,False,False,363.83
GOOGL,Communication Services,False,2025,2025-10-29,2025-10-31,282.6569,26.88,2.756,8.0,10000.0,False,9.52,time,42,False,False,952.01
GOOG,Communication Services,False,2024,2024-04-25,2024-04-29,169.2775,25.58,2.66,8.0,10000.0,False,3.549,time,42,False,False,354.92
AMZN,Consumer Discretionary,False,2024,2024-02-01,2024-02-05,170.2,24.44,2.251,8.0,10000.0,False,2.515,time,42,False,False,251.47
AMZN,Consumer Discretionary,False,2024,2024-04-30,2024-05-02,180.85,18.16,3.112,8.0,10000.0,False,1.648,time,42,False,False,164.78
AMZN,Consumer Discretionary,False,2025,2025-10-30,2025-11-03,255.36,25.2,2.67,8.0,10000.0,False,-8.094,hard_stop,11,True,False,-809.45
APH,Information Technology,True,2025,2025-07-23,2025-07-25,104.0806,28.42,2.806,8.0,10000.0,False,5.401,time,42,False,False,540.13
APH,Information Technology,True,2025,2025-10-22,2025-10-24,136.45,16.48,3.04,8.0,10000.0,False,1.582,time,42,False,False,158.17
APP,Information Technology,True,2024,2024-02-14,2024-02-16,58.52,39.34,5.216,10.433,7668.11,False,15.432,time,45,False,False,1183.32
APP,Information Technology,True,2024,2024-05-08,2024-05-10,85.74,21.54,4.833,9.666,8276.21,False,-9.785,hard_stop,32,True,False,-809.86
APP,Information Technology,True,2024,2024-11-06,2024-11-08,249.09,19.64,5.202,10.404,7689.49,False,28.344,trail_stop,31,False,False,2179.54
ACGL,Financials,False,2023,2023-02-13,2023-02-15,62.997,60.3,1.994,8.0,10000.0,False,2.34,time,42,False,False,233.96
ACGL,Financials,False,2024,2024-04-29,2024-05-01,89.0326,17.23,1.78,8.0,10000.0,False,7.271,time,42,False,False,727.08
ADM,Consumer Staples,False,2022,2022-04-26,2022-04-28,83.613,34.75,3.27,8.0,10000.0,False,-10.89,hard_stop,11,True,False,-1089.05
ANET,Information Technology,True,2023,2023-10-30,2023-11-01,50.7325,16.12,4.234,8.469,9446.37,False,12.079,time,42,False,False,1140.99
AIZ,Financials,False,2024,2024-02-06,2024-02-08,169.388,23.34,1.703,8.0,10000.0,False,2.436,time,42,False,False,243.62
T,Communication Services,False,2025,2025-01-27,2025-01-29,23.428,17.3,2.06,8.0,10000.0,False,6.058,trail_stop,42,False,False,605.83
AVB,Real Estate,False,2024,2024-07-31,2024-08-02,199.5518,49.48,2.094,8.0,10000.0,False,9.563,time,42,False,False,956.31
AXON,Industrials,False,2023,2023-02-28,2023-03-02,215.0,37.34,3.358,8.0,10000.0,False,3.865,time,42,False,False,386.51
AXON,Industrials,False,2023,2023-11-07,2023-11-09,230.23,34.78,2.747,8.0,10000.0,False,11.039,time,42,False,False,1103.87
AXON,Industrials,False,2024,2024-02-27,2024-02-29,309.22,31.24,3.067,8.0,10000.0,False,4.809,time,42,False,False,480.89
AXON,Industrials,False,2024,2024-08-06,2024-08-08,350.9,22.71,3.903,8.0,10000.0,False,10.712,time,42,False,False,1071.25
AXON,Industrials,False,2024,2024-11-07,2024-11-11,611.06,21.03,3.203,8.0,10000.0,False,6.212,trail_stop,29,False,False,621.25
AXON,Industrials,False,2025,2025-02-25,2025-02-27,575.0,48.21,6.948,13.896,5757.09,False,-4.13,time,42,False,False,-237.79
BALL,Materials,False,2024,2024-04-26,2024-04-30,68.4428,25.66,2.043,8.0,10000.0,False,-3.275,time,42,False,False,-327.45
BX,Financials,False,2024,2024-01-25,2024-01-29,115.5838,16.94,2.286,8.0,10000.0,False,0.6,time,42,False,False,60.05
BKNG,Consumer Discretionary,False,2023,2023-08-03,2023-08-07,120.8156,29.01,2.523,8.0,10000.0,False,2.392,time,42,False,False,239.19
BLDR,Industrials,False,2023,2023-02-28,2023-03-02,84.74,39.19,3.325,8.0,10000.0,False,10.099,time,42,False,False,1009.91
BLDR,Industrials,False,2023,2023-05-03,2023-05-05,108.38,90.26,2.964,8.0,10000.0,False,6.181,trail_stop,18,False,False,618.13
BLDR,Industrials,False,2024,2024-02-22,2024-02-26,189.11,37.67,3.146,8.0,10000.0,False,7.349,time,42,False,False,734.86
BG,Consumer Staples,False,2022,2022-02-09,2022-02-11,90.2717,21.42,3.013,8.0,10000.0,False,13.653,time,42,False,False,1365.28
BG,Consumer Staples,False,2023,2023-08-02,2023-08-04,105.3582,39.63,2.292,8.0,10000.0,False,-1.598,time,42,False,False,-159.77
