ticker,sector,is_it,year,earn_date,entry_date,entry_price,surprise_pct,atr_pct,v0_return_pct,v0_exit_reason,v0_holding_days,v0_stop_fired,v0_stop_first5,v0_return_dollar
ALLE,Industrials,False,2023,2023-02-22,2023-02-24,107.1721,16.28,2.806,-8.502,hard_stop,27,True,False,-935.26
GOOGL,Communication Services,False,2024,2024-04-25,2024-04-29,167.5741,25.58,2.697,3.638,time,42,False,False,400.21
GOOGL,Communication Services,False,2025,2025-10-29,2025-10-31,282.6569,26.88,2.756,9.52,time,42,False,False,1047.21
GOOG,Communication Services,False,2024,2024-04-25,2024-04-29,169.2775,25.58,2.66,3.549,time,42,False,False,390.41
AMZN,Consumer Discretionary,False,2024,2024-02-01,2024-02-05,170.2,24.44,2.251,2.515,time,42,False,False,276.62
AMZN,Consumer Discretionary,False,2024,2024-04-30,2024-05-02,180.85,18.16,3.112,1.648,time,42,False,False,181.25
AMZN,Consumer Discretionary,False,2025,2025-10-30,2025-11-03,255.36,25.2,2.67,-8.094,hard_stop,11,True,False,-890.39
APH,Information Technology,True,2025,2025-07-23,2025-07-25,104.0806,28.42,2.806,5.401,time,42,False,False,594.14
APH,Information Technology,True,2025,2025-10-22,2025-10-24,136.45,16.48,3.04,1.582,time,42,False,False,173.99
APP,Information Technology,True,2024,2024-02-14,2024-02-16,58.52,39.34,5.216,15.432,time,45,False,False,1697.49
APP,Information Technology,True,2024,2024-05-08,2024-05-10,85.74,21.54,4.833,-9.785,hard_stop,32,True,False,-1076.39
APP,Information Technology,True,2024,2024-11-06,2024-11-08,249.09,19.64,5.202,28.344,trail_stop,31,False,False,3117.88
ACGL,Financials,False,2023,2023-02-13,2023-02-15,62.997,60.3,1.994,2.34,time,42,False,False,257.36
ACGL,Financials,False,2024,2024-04-29,2024-05-01,89.0326,17.23,1.78,7.271,time,42,False,False,799.79
ADM,Consumer Staples,False,2022,2022-04-26,2022-04-28,83.613,34.75,3.27,-10.89,hard_stop,11,True,False,-1197.95
ANET,Information Technology,True,2023,2023-10-30,2023-11-01,50.7325,16.12,4.234,12.079,time,42,False,False,1328.64
AIZ,Financials,False,2024,2024-02-06,2024-02-08,169.388,23.34,1.703,2.436,time,42,False,False,267.98
T,Communication Services,False,2025,2025-01-27,2025-01-29,23.428,17.3,2.06,6.058,trail_stop,42,False,False,666.41
AVB,Real Estate,False,2024,2024-07-31,2024-08-02,199.5518,49.48,2.094,9.563,time,42,False,False,1051.95
AXON,Industrials,False,2023,2023-02-28,2023-03-02,215.0,37.34,3.358,3.865,time,42,False,False,425.16
AXON,Industrials,False,2023,2023-11-07,2023-11-09,230.23,34.78,2.747,11.039,time,42,False,False,1214.25
AXON,Industrials,False,2024,2024-02-27,2024-02-29,309.22,31.24,3.067,4.809,time,42,False,False,528.98
AXON,Industrials,False,2024,2024-08-06,2024-08-08,350.9,22.71,3.903,10.712,time,42,False,False,1178.37
AXON,Industrials,False,2024,2024-11-07,2024-11-11,611.06,21.03,3.203,6.212,trail_stop,29,False,False,683.37
AXON,Industrials,False,2025,2025-02-25,2025-02-27,575.0,48.21,6.948,-8.619,hard_stop,0,True,True,-948.1
BALL,Materials,False,2024,2024-04-26,2024-04-30,68.4428,25.66,2.043,-3.275,time,42,False,False,-360.2
BX,Financials,False,2024,2024-01-25,2024-01-29,115.5838,16.94,2.286,0.6,time,42,False,False,66.05
BKNG,Consumer Discretionary,False,2023,2023-08-03,2023-08-07,120.8156,29.01,2.523,2.392,time,42,False,False,263.11
BLDR,Industrials,False,2023,2023-02-28,2023-03-02,84.74,39.19,3.325,10.099,time,42,False,False,1110.9
BLDR,Industrials,False,2023,2023-05-03,2023-05-05,108.38,90.26,2.964,6.181,trail_stop,18,False,False,679.95
BLDR,Industrials,False,2024,2024-02-22,2024-02-26,189.11,37.67,3.146,7.349,time,42,False,False,808.35
BG,Consumer Staples,False,2022,2022-02-09,2022-02-11,90.2717,21.42,3.013,13.653,time,42,False,False,1501.81
BG,Consumer Staples,False,2023,2023-08-02,2023-08-04,105.3582,39.63,2.292,-1.598,time,42,False,False,-175.75
BXP,Real Estate,False,2022,2022-05-02,2022-05-04,95.5244,19.6,2.566,-8.785,hard_stop,6,True,True,-966.33
CHRW,Industrials,False,2022,2022-07-27,2022-07-29,98.4505,34.08,2.638,7.512,time,42,False,False,826.29
CHRW,Industrials,False,2024,2024-07-31,2024-08-02,97.521,20.15,3.051,-0.856,time,42,False,False,-94.14
CPB,Consumer Staples,False,2022,2022-12-07,2022-12-09,48.7466,18.73,1.996,-8.097,hard_stop,42,True,False,-890.64
COF,Financials,False,2024,2024-10-24,2024-10-28,157.746,19.97,2.53,13.128,time,42,False,False,1444.08
CAH,Health Care,False,2022,2022-11-04,2022-11-08,75.1175,24.12,2.479,-0.699,time,42,False,False,-76.86
CAH,Health Care,False,2023,2023-05-04,2023-05-08,79.1871,16.77,1.927,9.414,time,43,False,False,1035.5
CAH,Health Care,False,2023,2023-11-03,2023-11-07,97.7038,22.98,2.195,-0.59,time,42,False,False,-64.86
CAH,Health Care,False,2025,2025-10-30,2025-11-03,189.721,17.6,2.744,5.751,trail_stop,36,False,False,632.64
CVNA,Consumer Discretionary,False,2024,2024-05-01,2024-05-03,23.84,131.12,6.145,-8.431,hard_stop,21,True,False,-927.43
CVNA,Consumer Discretionary,False,2024,2024-07-31,2024-08-02,27.962,424.08,7.199,5.579,trail_stop,32,False,False,613.72
