ticker,sector,is_it,year,earn_date,entry_date,surprise_pct,v0_return_pct,v0_exit_reason,v0_holding_days,v0_return_dollar,D5K3_return_pct,D5K3_exit_reason,D5K3_holding_days,D5K3_return_dollar,D5K3_triggered,D5K4_return_pct,D5K4_exit_reason,D5K4_holding_days,D5K4_return_dollar,D5K4_triggered,D5K5_return_pct,D5K5_exit_reason,D5K5_holding_days,D5K5_return_dollar,D5K5_triggered,D7K3_return_pct,D7K3_exit_reason,D7K3_holding_days,D7K3_return_dollar,D7K3_triggered,D7K4_return_pct,D7K4_exit_reason,D7K4_holding_days,D7K4_return_dollar,D7K4_triggered,D7K5_return_pct,D7K5_exit_reason,D7K5_holding_days,D7K5_return_dollar,D7K5_triggered,D10K3_return_pct,D10K3_exit_reason,D10K3_holding_days,D10K3_return_dollar,D10K3_triggered,D10K4_return_pct,D10K4_exit_reason,D10K4_holding_days,D10K4_return_dollar,D10K4_triggered,D10K5_return_pct,D10K5_exit_reason,D10K5_holding_days,D10K5_return_dollar,D10K5_triggered
ALLE,Industrials,False,2023,2023-02-22,2023-02-24,16.28,-8.502,hard_stop,27,-935.26,-8.502,hard_stop,27,-935.26,False,-8.502,hard_stop,27,-935.26,False,-8.502,hard_stop,27,-935.26,False,-8.502,hard_stop,27,-935.26,False,-8.502,hard_stop,27,-935.26,False,-8.502,hard_stop,27,-935.26,False,-8.502,hard_stop,27,-935.26,False,-8.502,hard_stop,27,-935.26,False,-8.502,hard_stop,27,-935.26,False
GOOGL,Communication Services,False,2024,2024-04-25,2024-04-29,25.58,3.638,time,42,400.21,-1.077,chronic_exit,4,-118.42,True,-1.077,chronic_exit,4,-118.42,True,-1.077,chronic_exit,4,-118.42,True,3.638,time,42,400.21,False,3.638,time,42,400.21,False,3.638,time,42,400.21,False,3.638,time,42,400.21,False,3.638,time,42,400.21,False,3.638,time,42,400.21,False
GOOGL,Communication Services,False,2025,2025-10-29,2025-10-31,26.88,9.52,time,42,1047.21,9.52,time,42,1047.21,False,9.52,time,42,1047.21,False,9.52,time,42,1047.21,False,9.52,time,42,1047.21,False,9.52,time,42,1047.21,False,9.52,time,42,1047.21,False,9.52,time,42,1047.21,False,9.52,time,42,1047.21,False,9.52,time,42,1047.21,False
GOOG,Communication Services,False,2024,2024-04-25,2024-04-29,25.58,3.549,time,42,390.41,-1.042,chronic_exit,4,-114.66,True,-1.042,chronic_exit,4,-114.66,True,-1.042,chronic_exit,4,-114.66,True,3.549,time,42,390.41,False,3.549,time,42,390.41,False,3.549,time,42,390.41,False,3.549,time,42,390.41,False,3.549,time,42,390.41,False,3.549,time,42,390.41,False
AMZN,Consumer Discretionary,False,2024,2024-02-01,2024-02-05,24.44,2.515,time,42,276.62,2.515,time,42,276.62,False,2.515,time,42,276.62,False,2.515,time,42,276.62,False,2.515,time,42,276.62,False,2.515,time,42,276.62,False,2.515,time,42,276.62,False,2.515,time,42,276.62,False,2.515,time,42,276.62,False,2.515,time,42,276.62,False
AMZN,Consumer Discretionary,False,2024,2024-04-30,2024-05-02,18.16,1.648,time,42,181.25,1.648,time,42,181.25,False,1.648,time,42,181.25,False,1.648,time,42,181.25,False,1.648,time,42,181.25,False,1.648,time,42,181.25,False,1.648,time,42,181.25,False,1.648,time,42,181.25,False,1.648,time,42,181.25,False,1.648,time,42,181.25,False
AMZN,Consumer Discretionary,False,2025,2025-10-30,2025-11-03,25.2,-8.094,hard_stop,11,-890.39,-4.288,chronic_exit,4,-471.69,True,-4.288,chronic_exit,4,-471.69,True,-4.288,chronic_exit,4,-471.69,True,-2.451,chronic_exit,8,-269.66,True,-2.451,chronic_exit,8,-269.66,True,-2.451,chronic_exit,8,-269.66,True,-8.094,hard_stop,11,-890.39,False,-8.094,hard_stop,11,-890.39,False,-8.094,hard_stop,11,-890.39,False
APH,Information Technology,True,2025,2025-07-23,2025-07-25,28.42,5.401,time,42,594.14,5.401,time,42,594.14,False,5.401,time,42,594.14,False,5.401,time,42,594.14,False,5.401,time,42,594.14,False,5.401,time,42,594.14,False,5.401,time,42,594.14,False,5.401,time,42,594.14,False,5.401,time,42,594.14,False,5.401,time,42,594.14,False
APH,Information Technology,True,2025,2025-10-22,2025-10-24,16.48,1.582,time,42,173.99,1.582,time,42,173.99,False,1.582,time,42,173.99,False,1.582,time,42,173.99,False,1.582,time,42,173.99,False,1.582,time,42,173.99,False,1.582,time,42,173.99,False,1.582,time,42,173.99,False,1.582,time,42,173.99,False,1.582,time,42,173.99,False
APP,Information Technology,True,2024,2024-02-14,2024-02-16,39.34,15.432,time,45,1697.49,15.432,time,45,1697.49,False,15.432,time,45,1697.49,False,15.432,time,45,1697.49,False,15.432,time,45,1697.49,False,15.432,time,45,1697.49,False,15.432,time,45,1697.49,False,15.432,time,45,1697.49,False,15.432,time,45,1697.49,False,15.432,time,45,1697.49,False
APP,Information Technology,True,2024,2024-05-08,2024-05-10,21.54,-9.785,hard_stop,32,-1076.39,-2.927,chronic_exit,6,-322.02,True,-3.791,chronic_exit,7,-416.96,True,-1.365,chronic_exit,10,-150.1,True,-1.365,chronic_exit,10,-150.1,True,-1.365,chronic_exit,10,-150.1,True,-1.365,chronic_exit,10,-150.1,True,-7.558,chronic_exit,13,-831.35,True,-7.558,chronic_exit,13,-831.35,True,-7.558,chronic_exit,13,-831.35,True
APP,Information Technology,True,2024,2024-11-06,2024-11-08,19.64,28.344,trail_stop,31,3117.88,28.344,trail_stop,31,3117.88,False,28.344,trail_stop,31,3117.88,False,28.344,trail_stop,31,3117.88,False,28.344,trail_stop,31,3117.88,False,28.344,trail_stop,31,3117.88,False,28.344,trail_stop,31,3117.88,False,28.344,trail_stop,31,3117.88,False,28.344,trail_stop,31,3117.88,False,28.344,trail_stop,31,3117.88,False
ACGL,Financials,False,2023,2023-02-13,2023-02-15,60.3,2.34,time,42,257.36,2.34,time,42,257.36,False,2.34,time,42,257.36,False,2.34,time,42,257.36,False,2.34,time,42,257.36,False,2.34,time,42,257.36,False,2.34,time,42,257.36,False,2.34,time,42,257.36,False,2.34,time,42,257.36,False,2.34,time,42,257.36,False
ACGL,Financials,False,2024,2024-04-29,2024-05-01,17.23,7.271,time,42,799.79,7.271,time,42,799.79,False,7.271,time,42,799.79,False,7.271,time,42,799.79,False,7.271,time,42,799.79,False,7.271,time,42,799.79,False,7.271,time,42,799.79,False,7.271,time,42,799.79,False,7.271,time,42,799.79,False,7.271,time,42,799.79,False
ADM,Consumer Staples,False,2022,2022-04-26,2022-04-28,34.75,-10.89,hard_stop,11,-1197.95,-3.718,chronic_exit,6,-409.0,True,-3.718,chronic_exit,6,-409.0,True,-3.718,chronic_exit,6,-409.0,True,-5.218,chronic_exit,8,-573.99,True,-5.218,chronic_exit,8,-573.99,True,-5.218,chronic_exit,8,-573.99,True,-10.89,hard_stop,11,-1197.95,False,-10.89,hard_stop,11,-1197.95,False,-10.89,hard_stop,11,-1197.95,False
ANET,Information Technology,True,2023,2023-10-30,2023-11-01,16.12,12.079,time,42,1328.64,12.079,time,42,1328.64,False,12.079,time,42,1328.64,False,12.079,time,42,1328.64,False,12.079,time,42,1328.64,False,12.079,time,42,1328.64,False,12.079,time,42,1328.64,False,12.079,time,42,1328.64,False,12.079,time,42,1328.64,False,12.079,time,42,1328.64,False
AIZ,Financials,False,2024,2024-02-06,2024-02-08,23.34,2.436,time,42,267.98,-1.991,chronic_exit,6,-219.03,True,-1.991,chronic_exit,6,-219.03,True,-1.991,chronic_exit,6,-219.03,True,-0.884,chronic_exit,8,-97.28,True,-0.884,chronic_exit,8,-97.28,True,-0.884,chronic_exit,8,-97.28,True,2.436,time,42,267.98,False,2.436,time,42,267.98,False,2.436,time,42,267.98,False
T,Communication Services,False,2025,2025-01-27,2025-01-29,17.3,6.058,trail_stop,42,666.41,-1.862,chronic_exit,6,-204.77,True,-1.862,chronic_exit,6,-204.77,True,-1.862,chronic_exit,6,-204.77,True,-1.052,chronic_exit,8,-115.74,True,-1.052,chronic_exit,8,-115.74,True,-1.052,chronic_exit,8,-115.74,True,6.058,trail_stop,42,666.41,False,6.058,trail_stop,42,666.41,False,6.058,trail_stop,42,666.41,False
AVB,Real Estate,False,2024,2024-07-31,2024-08-02,49.48,9.563,time,42,1051.94,-2.74,chronic_exit,6,-301.36,True,-2.74,chronic_exit,6,-301.36,True,-2.74,chronic_exit,6,-301.36,True,-2.287,chronic_exit,10,-251.56,True,-2.287,chronic_exit,10,-251.56,True,-2.287,chronic_exit,10,-251.56,True,9.563,time,42,1051.94,False,9.563,time,42,1051.94,False,9.563,time,42,1051.94,False
AXON,Industrials,False,2023,2023-02-28,2023-03-02,37.34,3.865,time,42,425.16,3.865,time,42,425.16,False,3.865,time,42,425.16,False,3.865,time,42,425.16,False,3.865,time,42,425.16,False,3.865,time,42,425.16,False,3.865,time,42,425.16,False,3.865,time,42,425.16,False,3.865,time,42,425.16,False,3.865,time,42,425.16,False
AXON,Industrials,False,2023,2023-11-07,2023-11-09,34.78,11.039,time,42,1214.25,-3.974,chronic_exit,6,-437.17,True,-3.974,chronic_exit,6,-437.17,True,-3.974,chronic_exit,6,-437.17,True,-2.932,chronic_exit,8,-322.5,True,-2.932,chronic_exit,8,-322.5,True,-2.932,chronic_exit,8,-322.5,True,-1.459,chronic_exit,13,-160.54,True,-1.459,chronic_exit,13,-160.54,True,-1.459,chronic_exit,13,-160.54,True
AXON,Industrials,False,2024,2024-02-27,2024-02-29,31.24,4.809,time,42,528.98,4.809,time,42,528.98,False,4.809,time,42,528.98,False,4.809,time,42,528.98,False,4.809,time,42,528.98,False,4.809,time,42,528.98,False,4.809,time,42,528.98,False,4.809,time,42,528.98,False,4.809,time,42,528.98,False,4.809,time,42,528.98,False
AXON,Industrials,False,2024,2024-08-06,2024-08-08,22.71,10.712,time,42,1178.37,10.712,time,42,1178.37,False,10.712,time,42,1178.37,False,10.712,time,42,1178.37,False,10.712,time,42,1178.37,False,10.712,time,42,1178.37,False,10.712,time,42,1178.37,False,10.712,time,42,1178.37,False,10.712,time,42,1178.37,False,10.712,time,42,1178.37,False
AXON,Industrials,False,2024,2024-11-07,2024-11-11,21.03,6.212,trail_stop,29,683.37,-1.916,chronic_exit,4,-210.8,True,-1.916,chronic_exit,4,-210.8,True,-1.81,chronic_exit,7,-199.1,True,-0.141,chronic_exit,8,-15.48,True,-0.141,chronic_exit,8,-15.48,True,-0.141,chronic_exit,8,-15.48,True,6.212,trail_stop,29,683.37,False,6.212,trail_stop,29,683.37,False,6.212,trail_stop,29,683.37,False
AXON,Industrials,False,2025,2025-02-25,2025-02-27,48.21,-8.619,hard_stop,0,-948.1,-8.619,hard_stop,0,-948.1,False,-8.619,hard_stop,0,-948.1,False,-8.619,hard_stop,0,-948.1,False,-8.619,hard_stop,0,-948.1,False,-8.619,hard_stop,0,-948.1,False,-8.619,hard_stop,0,-948.1,False,-8.619,hard_stop,0,-948.1,False,-8.619,hard_stop,0,-948.1,False,-8.619,hard_stop,0,-948.1,False
BALL,Materials,False,2024,2024-04-26,2024-04-30,25.66,-3.275,time,42,-360.2,-2.075,chronic_exit,6,-228.25,True,-2.075,chronic_exit,6,-228.25,True,-2.075,chronic_exit,6,-228.25,True,-0.668,chronic_exit,8,-73.48,True,-0.668,chronic_exit,8,-73.48,True,-0.668,chronic_exit,8,-73.48,True,-1.549,chronic_exit,13,-170.41,True,-1.549,chronic_exit,13,-170.41,True,-1.549,chronic_exit,13,-170.41,True
BX,Financials,False,2024,2024-01-25,2024-01-29,16.94,0.6,time,42,66.05,0.6,time,42,66.05,False,0.6,time,42,66.05,False,0.6,time,42,66.05,False,0.6,time,42,66.05,False,0.6,time,42,66.05,False,0.6,time,42,66.05,False,0.6,time,42,66.05,False,0.6,time,42,66.05,False,0.6,time,42,66.05,False
BKNG,Consumer Discretionary,False,2023,2023-08-03,2023-08-07,29.01,2.392,time,42,263.11,2.392,time,42,263.11,False,2.392,time,42,263.11,False,2.392,time,42,263.11,False,2.392,time,42,263.11,False,2.392,time,42,263.11,False,2.392,time,42,263.11,False,2.392,time,42,263.11,False,2.392,time,42,263.11,False,2.392,time,42,263.11,False
