ticker,sector,is_it,year,earn_date,entry_date,entry_price,exit_reason,holding_days,return_pct,ret_trail7,ret_trail12,surprise_pct,f_surprise15,f_vol15x,f_rs,f_52w,f_nearearn,spy_bull_regime
ALLE,Industrials,False,2023,2023-02-22,2023-02-24,107.6139,hard_stop,27,-8.5,-8.5,-8.5,16.28,True,True,True,True,True,True
GOOGL,Communication Services,False,2024,2024-04-25,2024-04-29,167.6742,time,42,3.64,3.64,3.64,25.58,True,True,True,True,True,True
GOOGL,Communication Services,False,2025,2025-10-29,2025-10-31,282.8258,time,42,9.28,9.28,9.28,26.88,True,True,True,True,True,True
GOOG,Communication Services,False,2024,2024-04-25,2024-04-29,169.3794,time,42,3.55,3.55,3.55,25.58,True,True,True,True,True,True
AMZN,Consumer Discretionary,False,2024,2024-02-01,2024-02-05,170.2,time,42,2.51,2.51,2.51,24.44,True,True,True,True,True,True
AMZN,Consumer Discretionary,False,2024,2024-04-30,2024-05-02,180.85,time,42,1.65,1.65,1.65,18.16,True,True,True,True,True,True
AMZN,Consumer Discretionary,False,2025,2025-10-30,2025-11-03,255.36,hard_stop,11,-8.09,-8.09,-8.09,25.2,True,True,True,True,True,True
APH,Information Technology,True,2025,2025-07-23,2025-07-25,104.2376,time,42,5.4,5.4,5.4,28.42,True,True,True,True,True,True
APH,Information Technology,True,2025,2025-10-22,2025-10-24,136.6559,time,42,1.58,1.58,1.58,16.48,True,True,True,True,True,True
APP,Information Technology,True,2024,2024-02-14,2024-02-16,58.52,time,45,18.15,18.15,18.15,39.34,True,True,True,True,True,True
APP,Information Technology,True,2024,2024-05-08,2024-05-10,85.74,hard_stop,32,-9.79,-9.79,-9.79,21.54,True,True,True,True,True,True
APP,Information Technology,True,2024,2024-11-06,2024-11-08,249.09,trail_stop,31,37.52,37.52,37.52,19.64,True,True,True,True,True,True
ACGL,Financials,False,2023,2023-02-13,2023-02-15,62.997,time,42,2.34,2.34,2.34,60.3,True,True,True,True,True,True
ACGL,Financials,False,2024,2024-04-29,2024-05-01,89.0326,time,42,5.91,5.91,5.91,17.23,True,True,True,True,True,True
ADM,Consumer Staples,False,2022,2022-04-26,2022-04-28,83.613,hard_stop,11,-10.89,-10.89,-10.89,34.75,True,True,True,True,True,False
ANET,Information Technology,True,2023,2023-10-30,2023-11-01,50.7325,time,42,13.12,13.12,13.12,16.12,True,True,True,True,True,True
AIZ,Financials,False,2024,2024-02-06,2024-02-08,169.9692,time,42,2.44,2.44,2.44,23.34,True,True,True,True,True,True
T,Communication Services,False,2025,2025-01-27,2025-01-29,23.428,time,42,4.09,4.09,4.09,17.3,True,True,True,True,True,True
AVB,Real Estate,False,2024,2024-07-31,2024-08-02,201.4129,time,42,9.56,9.56,9.56,49.48,True,True,True,True,True,True
AXON,Industrials,False,2023,2023-02-28,2023-03-02,215.0,time,42,3.87,3.87,3.87,37.34,True,True,True,True,True,True
AXON,Industrials,False,2023,2023-11-07,2023-11-09,230.23,time,42,11.56,11.56,11.56,34.78,True,True,True,True,True,True
AXON,Industrials,False,2024,2024-02-27,2024-02-29,309.22,time,42,4.81,4.81,4.81,31.24,True,True,True,True,True,True
AXON,Industrials,False,2024,2024-08-06,2024-08-08,350.9,time,42,11.07,11.07,11.07,22.71,True,True,True,True,True,True
AXON,Industrials,False,2024,2024-11-07,2024-11-11,611.06,trail_stop,29,4.32,4.32,2.14,21.03,True,True,True,True,True,True
AXON,Industrials,False,2025,2025-02-25,2025-02-27,575.0,hard_stop,0,-8.62,-8.62,-8.62,48.21,True,True,True,True,True,True
BALL,Materials,False,2024,2024-04-26,2024-04-30,68.1925,time,42,-3.27,-3.27,-3.27,25.66,True,True,True,True,True,True
BX,Financials,False,2024,2024-01-25,2024-01-29,115.5838,time,42,0.6,0.6,0.6,16.94,True,True,True,True,True,True
BKNG,Consumer Discretionary,False,2023,2023-08-03,2023-08-07,120.8156,time,42,2.39,2.39,2.39,29.01,True,True,True,True,True,True
BLDR,Industrials,False,2023,2023-02-28,2023-03-02,84.74,time,42,10.15,10.15,10.15,39.19,True,True,True,True,True,True
